epoch,accuracy,loss,val_accuracy,val_loss
0,0.3614724576473236,1.3357009887695312,0.4524495601654053,1.2834962606430054
1,0.6293938755989075,1.0085994005203247,0.6685879230499268,0.9083725214004517
2,0.7946305274963379,0.59413081407547,0.6945244669914246,0.7456080317497253
3,0.845004141330719,0.4173988699913025,0.6974063515663147,0.8046064376831055
4,0.8859673142433167,0.32454627752304077,0.6858789920806885,0.7960626482963562
5,0.9128148555755615,0.25875160098075867,0.6743515729904175,0.8633831143379211
6,0.9283144474029541,0.21562416851520538,0.6974063515663147,0.9144691824913025
7,0.9482424855232239,0.17564286291599274,0.680115282535553,0.9798144102096558
8,0.9535012245178223,0.15553632378578186,0.680115282535553,1.0263217687606812
9,0.9601439237594604,0.13462312519550323,0.7002881765365601,1.1135674715042114
10,0.9645723700523376,0.11867035180330276,0.7031700015068054,1.138597011566162
11,0.9687240719795227,0.11293115466833115,0.6829971075057983,1.1905043125152588
12,0.9712150692939758,0.09524550288915634,0.680115282535553,1.345392107963562
13,0.972875714302063,0.09055611491203308,0.6858789920806885,1.3235758543014526
14,0.973706066608429,0.08732837438583374,0.6887608170509338,1.3382714986801147
15,0.974259614944458,0.08528627455234528,0.6887608170509338,1.3324840068817139
16,0.9753667116165161,0.08081616461277008,0.6829971075057983,1.3822627067565918
17,0.977027416229248,0.07839297503232956,0.6599423885345459,1.4596973657608032
18,0.9767506122589111,0.07586903125047684,0.6714697480201721,1.488144040107727
19,0.9761970639228821,0.0712229460477829,0.6743515729904175,1.500080943107605
20,0.9767506122589111,0.0727948471903801,0.680115282535553,1.5117287635803223
21,0.977027416229248,0.06850192695856094,0.6743515729904175,1.500138759613037
22,0.9797951579093933,0.06573706865310669,0.6858789920806885,1.5678162574768066
23,0.9759202599525452,0.06972559541463852,0.6858789920806885,1.5547560453414917
24,0.9795184135437012,0.05957447737455368,0.6657060384750366,1.6015183925628662
