epoch,accuracy,loss,val_accuracy,val_loss
0,0.6446166634559631,0.9974555969238281,0.6772334575653076,0.9276984333992004
1,0.7877110242843628,0.6042948961257935,0.6945244669914246,0.7836383581161499
2,0.845557689666748,0.4283450245857239,0.6887608170509338,0.823194682598114
3,0.8732355237007141,0.34642651677131653,0.6916426420211792,0.8420421481132507
4,0.9017437100410461,0.2825036942958832,0.6858789920806885,0.8952599167823792
5,0.9180735945701599,0.2361367642879486,0.6743515729904175,0.9029285907745361
6,0.9344035387039185,0.2011861503124237,0.6657060384750366,1.009187936782837
7,0.9451978802680969,0.1721968799829483,0.6628242135047913,1.0465538501739502
8,0.9551619291305542,0.15007422864437103,0.6685879230499268,1.1220899820327759
9,0.9612510204315186,0.1323542445898056,0.6685879230499268,1.183626413345337
10,0.9673401713371277,0.11195742338895798,0.6685879230499268,1.210397481918335
11,0.9684472680091858,0.10536312311887741,0.651296854019165,1.2938599586486816
12,0.9681705236434937,0.10198184102773666,0.6657060384750366,1.3023403882980347
13,0.9703847169876099,0.08740738779306412,0.651296854019165,1.3837072849273682
14,0.9739828109741211,0.09186460077762604,0.6685879230499268,1.3478600978851318
15,0.9739828109741211,0.08624053746461868,0.6657060384750366,1.4204267263412476
16,0.972045361995697,0.07906152307987213,0.6599423885345459,1.4711915254592896
17,0.975089967250824,0.07962238788604736,0.6570605039596558,1.5297818183898926
18,0.977027416229248,0.07745278626680374,0.6628242135047913,1.4829827547073364
19,0.9761970639228821,0.07551170885562897,0.6541786789894104,1.5203453302383423
20,0.9767506122589111,0.07185443490743637,0.6685879230499268,1.4989038705825806
21,0.9778577089309692,0.06422609090805054,0.6484149694442749,1.6168264150619507
22,0.9786880612373352,0.06584043800830841,0.6599423885345459,1.5557000637054443
23,0.977027416229248,0.07333507388830185,0.6484149694442749,1.6444029808044434
24,0.9784113168716431,0.057631585747003555,0.6685879230499268,1.6781322956085205
